WireL,WireH,NatPerch,NatPerchH,AnthroPerch,AnthroPerchH,Ditches,DitchD,DitchW,GrassW,GrassH
100,9,101,8,14,3,0,0,0,2,0.15
400,11.5,17,12,3,3,2,5,6,0,0
0,0,0,0,1,2,0,0,0,0,0
250,8,27,8,21,3,0,0,0,1,0.015
600,9.5,101,3,16,7,0,0,0,3.75,0.25
400,9,19,3.5,16,1.8,1,0.2,1.5,2.5,0.2
0,0,19,7,1,1.3,2,0.2,1.25,2,0.1
550,9.5,12,8,9,4,0,0,0,1,0.4
500,9.5,10,19,128,1.5,1,1,4.5,4.25,0.55
750,9.5,17,1.7,13,1.8,2,1.05,3.5,7,0.2
500,8.5,15,1.8,8,1.5,2,1.15,5,14.5,0.25
500,9.5,0,0,9,2,1,1.5,6,16,0.2
350,10,60,11,6,1.5,1,4,11,7.5,0.05
300,10,22,5,3,3,2,1,2.5,1,0.01
500,9.5,125,7,0,0,1,1,6,1,0.25
500,9,101,12,3,7,1,1,3,2.5,1
500,8.5,80,7,3,2,3,1.333333333,2.666666667,2,0.25
500,10.5,10,11,3,2,2,2,4.75,1.5,0.25
500,10.5,3,2,0,0,2,0.75,1.75,1.25,0.375
500,8.5,101,13,18,5,1,0.25,2.5,2.5,0.1
200,9.5,101,14,2,0.5,3,1.333333333,1.166666667,1.5,0.4
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
530,9.5,70,8,7,2,2,2,3.75,2.5,0.5
520,10.5,15,14,0,0,2,1.75,6.25,1,0.5
500,8.5,1,4,0,0,2,2.5,5,1.5,0.25
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
750,10.5,101,14,15,3.5,1,0.75,2,1.5,0.25
750,9.5,75,1.5,0,0,3,0.666666667,3.166666667,0.75,0
750,8.5,50,17,5,4,1,1.5,3.5,1.5,0
550,9,40,3,12,4,1,1,1.5,1,0.75
750,9.5,75,18,15,5,1,0.25,1.5,1,0
0,0,75,12,24,1,2,0.3,1.5,3.25,0.1
0,0,101,9.5,0,0,2,0.15,0.5,2,0.05
500,9,40,5,16,2,2,0.125,0.5,2.75,0.025
600,7.5,35,15,28,3,0,0,0,22.5,0.5
0,0,101,3,17,1.5,1,2,10,15,0.1
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
500,8.5,101,8,1,1,0,0,0,3.5,0.4
500,9.5,55,13,21,3,0,0,0,5,0.325
500,9,35,8.5,0,0,0,0,0,3.75,0.4
500,8.5,101,13,0,0,0,0,0,2.5,0.45
500,8,101,8.5,3,1.5,0,0,0,2,0.45
500,9.5,101,14,1,12,0,0,0,0,0
500,9.5,101,18,0,0,0,0,0,2.25,0.325
500,8.5,101,11,2,1,1,0.3,1.5,2.5,0.55
500,9.5,150,2,0,0,0,0,0,4.5,0.15
520,9.5,16,3,1,1.25,0,0,0,4.5,0.175
